연도,지역명,임야면적,임야변화율,농경지면적,농경지변화율,대지면적,대지변화율,공장용지면적,공장용지변화율,비고
2017,괴산군,622999108,,133869169,,12382855,,3179572,,기준연도
2017,단양군,641386145,,73829919,,6398287,,2220228,,기준연도
2017,보은군,399338385,,110547287,,8970565,,1939768,,기준연도
2017,영동군,652670874,,104473775,,9890041,,1417428,,기준연도
2017,옥천군,346160928,,99764181,,10173479,,2508364,,기준연도
2017,음성군,270174307,,136052132,,15522290,,20093514,,기준연도
2017,제천시,644959873,,109641962,,15345719,,3546557,,기준연도
2017,증평군,39975891,,22954206,,4301767,,1906426,,기준연도
2017,진천군,229389485,,92949810,,11011235,,12257369,,기준연도
2017,청주 상당구,270039767,,68546933,,13031006,,791534,,기준연도
2017,청주 서원구,60254470,,27194317,,10588041,,2562610,,기준연도
2017,청주 청원구,75217720,,67339345,,13385701,,7019644,,기준연도
2017,청주 흥덕구,69743663,,59896472,,14972968,,10545006,,기준연도
2017,충주시,615928192,,158278028,,25396480,,10031765,,기준연도
2018,괴산군,622675764,-0.05,133646462,-0.17,12618113,1.9,3245120,2.06,2017년 대비
2018,단양군,641313474,-0.01,73753548,-0.1,6501735,1.62,2219796,-0.02,2017년 대비
2018,보은군,399099217,-0.06,110387571,-0.14,9078677,1.21,1940396,0.03,2017년 대비
2018,영동군,651382753,-0.2,103838520,-0.61,10021618,1.33,2031576,43.33,2017년 대비
2018,옥천군,345994209,-0.05,99532192,-0.23,10300948,1.25,2544047,1.42,2017년 대비
2018,음성군,269185679,-0.37,135744229,-0.23,15816140,1.89,20706211,3.05,2017년 대비
2018,제천시,644185792,-0.12,109516623,-0.11,15589697,1.59,3584442,1.07,2017년 대비
2018,증평군,39933432,-0.11,22876979,-0.34,4341897,0.93,1910240,0.2,2017년 대비
2018,진천군,228826595,-0.25,92789303,-0.17,11212782,1.83,12523672,2.17,2017년 대비
2018,청주 상당구,269687429,-0.13,68420953,-0.18,13251144,1.69,817344,3.26,2017년 대비
2018,청주 서원구,59926618,-0.54,26840525,-1.3,10666490,0.74,2642003,3.1,2017년 대비
2018,청주 청원구,74157044,-1.41,66753063,-0.87,13506731,0.9,7552669,7.59,2017년 대비
2018,청주 흥덕구,69037589,-1.01,59551503,-0.58,15257479,1.9,10688231,1.36,2017년 대비
2018,충주시,614508172,-0.23,157657150,-0.39,25647695,0.99,10308243,2.76,2017년 대비
2019,괴산군,622582143,-0.02,133499565,-0.11,12736267,0.94,3249822,0.14,2018년 대비
2019,단양군,640156813,-0.18,73693313,-0.08,6551912,0.77,2219667,-0.01,2018년 대비
2019,보은군,399024100,-0.02,110357389,-0.03,9121477,0.47,1940208,-0.01,2018년 대비
2019,영동군,651363366,-0.0,103755291,-0.08,10071451,0.5,2035678,0.2,2018년 대비
2019,옥천군,345934647,-0.02,99400482,-0.13,10375917,0.73,2546793,0.11,2018년 대비
2019,음성군,268494797,-0.26,135361153,-0.28,16157286,2.16,21220083,2.48,2018년 대비
2019,제천시,643823030,-0.06,109261620,-0.23,15832486,1.56,3613570,0.81,2018년 대비
2019,증평군,39925595,-0.02,22849528,-0.12,4349599,0.18,1913788,0.19,2018년 대비
2019,진천군,228513190,-0.14,92671951,-0.13,11301028,0.79,12695323,1.37,2018년 대비
2019,청주 상당구,269521016,-0.06,68305944,-0.17,13363791,0.85,858109,4.99,2018년 대비
2019,청주 서원구,59916402,-0.02,27078882,0.89,10770951,0.98,2690461,1.83,2018년 대비
2019,청주 청원구,74013534,-0.19,66551150,-0.3,13578713,0.53,7677992,1.66,2018년 대비
2019,청주 흥덕구,68099610,-1.36,57786417,-2.96,16247621,6.49,11601913,8.55,2018년 대비
2019,충주시,614154721,-0.06,157071241,-0.37,26127758,1.87,10365320,0.55,2018년 대비
2020,괴산군,622565935,-0.0,133240720,-0.19,12802308,0.52,3249822,0.0,2019년 대비
2020,단양군,640167203,0.0,73658537,-0.05,6568966,0.26,2220664,0.04,2019년 대비
2020,보은군,399021673,-0.0,110300261,-0.05,9155166,0.37,1945061,0.25,2019년 대비
2020,영동군,651299386,-0.01,103690293,-0.06,10098858,0.27,2060843,1.24,2019년 대비
2020,옥천군,345909358,-0.01,99322814,-0.08,10415108,0.38,2549612,0.11,2019년 대비
2020,음성군,268410502,-0.03,135232556,-0.1,16230236,0.45,21352819,0.63,2019년 대비
2020,제천시,643729340,-0.01,108985467,-0.25,15907384,0.47,3608899,-0.13,2019년 대비
2020,증평군,39902001,-0.06,22821048,-0.12,4366283,0.38,1913549,-0.01,2019년 대비
2020,진천군,228425596,-0.04,92653500,-0.02,11332169,0.28,12767228,0.57,2019년 대비
2020,청주 상당구,269389775,-0.05,68276358,-0.04,13402712,0.29,861044,0.34,2019년 대비
2020,청주 서원구,59877469,-0.06,27011215,-0.25,10800500,0.27,2748928,2.17,2019년 대비
