기간,용도,변화유형,지역명,변화율(%),변화전,변화후
2017-2018,임야,최대증가,단양군,-0.01,641386145,641313474
2017-2018,임야,최대감소,청주 청원구,-1.41,75217720,74157044
2017-2018,농경지,최대증가,단양군,-0.1,73829919,73753548
2017-2018,농경지,최대감소,청주 서원구,-1.3,27194317,26840525
2017-2018,대지,최대증가,괴산군,1.9,12382855,12618113
2017-2018,대지,최대감소,청주 서원구,0.74,10588041,10666490
2017-2018,공장용지,최대증가,영동군,43.33,1417428,2031576
2017-2018,공장용지,최대감소,단양군,-0.02,2220228,2219796
2018-2019,임야,최대증가,영동군,-0.0,651382753,651363366
2018-2019,임야,최대감소,청주 흥덕구,-1.36,69037589,68099610
2018-2019,농경지,최대증가,청주 서원구,0.89,26840525,27078882
2018-2019,농경지,최대감소,청주 흥덕구,-2.96,59551503,57786417
2018-2019,대지,최대증가,청주 흥덕구,6.49,15257479,16247621
2018-2019,대지,최대감소,증평군,0.18,4341897,4349599
2018-2019,공장용지,최대증가,청주 흥덕구,8.55,10688231,11601913
2018-2019,공장용지,최대감소,단양군,-0.01,2219796,2219667
2019-2020,임야,최대증가,괴산군,-0.0,622582143,622565935
2019-2020,임야,최대감소,청주 청원구,-0.15,74013534,73899234
2019-2020,농경지,최대증가,진천군,-0.02,92671951,92653500
2019-2020,농경지,최대감소,제천시,-0.25,109261620,108985467
2019-2020,대지,최대증가,괴산군,0.52,12736267,12802308
2019-2020,대지,최대감소,청주 흥덕구,0.21,16247621,16281089
2019-2020,공장용지,최대증가,청주 서원구,2.17,2690461,2748928
2019-2020,공장용지,최대감소,제천시,-0.13,3613570,3608899
2020-2023,임야,최대증가,단양군,0.0,640167203,640180811
2020-2023,임야,최대감소,청주 청원구,-1.55,73899234,72750903
2020-2023,농경지,최대증가,보은군,-0.85,110300261,109358484
2020-2023,농경지,최대감소,청주 상당구,-3.07,68276358,66183085
2020-2023,대지,최대증가,청주 상당구,8.63,13402712,14559233
2020-2023,대지,최대감소,영동군,4.13,10098858,10516262
2020-2023,공장용지,최대증가,제천시,21.29,3608899,4377336
2020-2023,공장용지,최대감소,영동군,1.53,2060843,2092372
2023-2024,임야,최대증가,단양군,-0.0,640180811,640163621
2023-2024,임야,최대감소,청주 청원구,-0.55,72750903,72348979
2023-2024,농경지,최대증가,보은군,-0.04,109358484,109318347
2023-2024,농경지,최대감소,청주 서원구,-1.04,26347683,26073372
2023-2024,대지,최대증가,청주 청원구,3.28,14403701,14875710
2023-2024,대지,최대감소,보은군,0.7,9601780,9669152
2023-2024,공장용지,최대증가,증평군,5.45,2001850,2110890
2023-2024,공장용지,최대감소,제천시,-0.1,4377336,4373013
2024-2025,임야,최대증가,영동군,0.01,651274372,651350487
2024-2025,임야,최대감소,청주 청원구,-0.94,72348979,71666135
2024-2025,농경지,최대증가,괴산군,-0.04,131804675,131753138
2024-2025,농경지,최대감소,청주 흥덕구,-2.07,55923192,54764025
2024-2025,대지,최대증가,청주 흥덕구,4.14,17517375,18242335
2024-2025,대지,최대감소,증평군,0.46,4614522,4635846
2024-2025,공장용지,최대증가,청주 청원구,8.03,8709809,9409628
2024-2025,공장용지,최대감소,제천시,-0.5,4373013,4351133
