 토지소재명,전 면적(제곱미터),전 지번수,답 면적(제곱미터),답 지번수,과수원 면적(제곱미터),과수원 지번수,목장용지 면적(제곱미터),목장용지 지번수,임야 면적(제곱미터),임야 지번수,광천지 면적(제곱미터),광천지 지번수,대 면적(제곱미터),대 지번수,공장용지 면적(제곱미터),공장용지 지번수,학교용지 면적(제곱미터),학교용지 지번수,주차장 면적(제곱미터),주차장 지번수,주유소용지 면적(제곱미터),주유소용지 지번수,창고용지 면적(제곱미터),창고용지 지번수,도로 면적(제곱미터),도로 지번수,철도용지 면적(제곱미터),철도용지 지번수,제방 면적(제곱미터),제방 지번수,하천 면적(제곱미터),하천 지번수,구거 면적(제곱미터),구거 지번수,유지 면적(제곱미터),유지 지번수,양어장 면적(제곱미터),양어장 지번수,수도용지 면적(제곱미터),수도용지 지번수,공원 면적(제곱미터),공원 지번수,체육용지 면적(제곱미터),체육용지 지번수,유원지 면적(제곱미터),유원지 지번수,종교용지 면적(제곱미터),종교용지 지번수,사적지 면적(제곱미터),사적지 지번수,묘지 면적(제곱미터),묘지 지번수,잡종지 면적(제곱미터),잡종지 지번수
청주시(소계),89852507.9,80047,131713539.2,88341,2644692.5,1658,3977612.6,1782,472808681.4,49277,49,5,52681844.8,106153,21700248.5,5916,8623801.9,1097,537782.1,634,409327,465,2270132.8,2077,48436331.3,74477,2698390.4,2920,2762789.2,3526,35170545.7,9251,23062864.5,21089,14657864.2,2954,111284.1,92,1219299.5,2267,5519900.4,1241,2117286.9,322,218292,22,970116.7,831,104828.4,24,2430296.9,1481,2173513.3,1006
청주 상당구,32477129.7,26734,35943824,27804,765130.8,554,1481382,547,269687429.8,17549,7,1,13251144.6,30075,817344.2,373,3018786.8,472,115220.7,191,79240.8,99,335903.3,425,12052421.3,22751,13.2,1,572614.6,987,8978991.8,2896,7353508.3,4658,12372430.9,1564,43075,27,122051.8,170,413497.3,197,604308,55,148649,10,313217.8,325,42953.9,5,1286355.9,571,902905.5,768
청주 서원구,11135576.3,11367,15704949.4,12881,203773,118,274649.5,233,59926618.3,8693,0,0,10666490,22171,2642003.4,1025,1744575.3,175,89434.1,96,84926.5,94,714247.8,388,8051368.8,14458,572787,402,95853.3,258,3932042.9,955,2870648.4,2491,145338,134,7179,7,706024.5,1022,685215.8,225,352634.9,72,5276,1,231173.4,184,0,0,348779,234,2099921.1,1117
청주 흥덕구,21268757.3,19831,38282746.5,25191,847729.5,509,736356,437,69037589,10918,0,0,15257479,28466,10688231.1,2004,1742598.7,240,176342.4,124,123233.2,139,671157.6,791,13412142.6,18072,1545073,1832,1108549.3,976,11533100.6,2201,6132546.9,5835,858467.5,450,42414,44,329811.5,1051,2125808.7,531,108448,20,5400,2,163099.8,155,59449.5,17,461224,348,8487211.8,1560
청주 청원구,24971044.6,22115,41782019.3,22465,828059.2,477,1485225.1,565,74157044.3,12117,42,4,13506731.2,25441,7552669.8,2514,2117841.1,210,156784.9,223,121926.5,133,548824.1,473,14920398.6,19196,580517.2,685,985772,1305,10726410.4,3199,6706160.9,8105,1281627.8,806,18616.1,14,61411.7,24,2295378.6,288,1051896,175,58967,9,262625.7,167,2425,2,333938,328,15329330.1,7826
충주시,78733721,60553,78923429.8,57333,16670140.4,8498,3404168.6,1172,614508172.4,32300,3,1,25647695.7,51346,10308243.8,1619,2869988.3,359,341481.2,323,221838.2,232,1048509.6,1187,38669505.6,57051,1407927.8,1645,2112658.6,2691,37952270.6,8537,14447707.5,11423,32154436.2,4881,247306,147,535372.8,1343,1359737.7,395,3586198.9,258,396212.2,56,544429.6,541,39586,32,2030876.1,1175,4765362.6,2819
제천시,75625801.2,54270,33890822,27335,4182607.9,1579,3488779.8,761,644185792.1,30231,0,0,15589697.8,34030,3584442.5,652,1992415.2,225,340209.6,416,257196.4,221,917373.9,1242,23171715.5,33341,2546639.3,2421,1020352.6,2071,21231437.4,6097,6604028.4,4185,35375048.3,5136,27874,25,117866,51,748439.7,188,846791.1,72,452185,90,430209.6,354,8359.6,12,2033812.4,859,1123422.1,997
보은군,51363964.3,39982,59023607.1,39047,2354386.4,985,2035748.9,750,399099217.5,18130,0,0,9078677.3,18688,1940396.4,343,743713,161,48178.4,55,52713.8,73,401241.9,543,15491353.3,27872,0,0,1845966.3,2289,12444097.6,2972,11055252.9,7580,13084484.2,1588,40001,36,31491.9,35,181009.6,38,716990,45,118332,29,229580.7,201,187909,29,1468954.8,855,1347745.6,1109
옥천군,55718153.8,46826,43814039,37818,3444577.5,1916,1298706.9,713,345994209.8,21920,0,0,10300948.3,22018,2544047.8,884,681208,206,133073,131,56853,74,685727.8,564,15988626.6,25146,1633761.4,2221,517443.8,895,14344616.6,3990,10307813.4,7846,25963348.2,2366,63806.9,40,48996.1,34,82870.2,29,196183,67,131224,25,234654.3,196,3697,8,1672086.6,1398,5368811.5,3319
영동군,51054190.8,52428,52784330,49854,7323925.5,4213,1949637,488,651382753.3,25597,0,0,10021618.5,24618,2031576.5,430,751412,177,72850.8,83,50282,73,722615.7,947,18345054.3,37312,2664411,3019,713695.4,1226,24685617.8,8655,11962027.3,6844,1301567.5,680,25547,19,97255.1,117,442380.4,114,145195.7,24,254244,95,233497.4,230,30864,18,1617363.8,1097,890867.5,543
증평군,9513902.4,8327,13363077.4,8854,315748.4,158,299860.6,177,39933432,3754,0,0,4341897.7,8149,1910240.3,244,482113.1,51,46113,50,35088,47,189013.5,262,3853955.8,7440,413132,312,199926.1,261,2166112.6,721,2290281.2,1965,759752.4,228,7985,5,38077,61,407354.5,103,119098,25,11638,1,78441.5,75,0,0,137929.8,103,2636100.7,1448
진천군,33965787.1,32773,58823516.4,37200,1832565.7,835,2131305.7,888,228826595.7,16493,0,0,11212782.9,20168,12523672,2932,943655.7,169,181947.7,192,91281.6,103,630540,530,15620708.1,31289,0,0,1392715.2,2090,10919935.8,3560,10863325.1,10228,6348501,1599,146943.1,90,112353.7,257,1502857.4,268,5105702.2,528,90565,36,374226.3,281,27910.1,10,938708.4,536,3459731.9,1301
괴산군,75501695.5,54628,58144767,41730,2760944.3,1111,3713686,895,622675764.9,21447,0,0,12618113,24453,3245120.5,659,1090664,193,81534.2,87,97950.8,131,509597.4,692,20434174.3,32202,0,0,1054085.6,2185,17824852.7,3538,13687384.7,8960,2860301.6,1131,79271.3,57,35688.8,209,187768.3,16,156006.6,71,243453,62,255702,276,31681,13,1406728,620,3425963.5,2127
음성군,61619611,49320,74124618.1,51778,8512576.7,4008,3557614.5,1149,269185679.1,26143,0,0,15816140,28342,20706211.9,4952,1115415.1,204,171496.3,113,204245,209,818580.5,703,23086320.1,35764,853922,1202,1188880.1,1546,11173845.7,6677,11338638.9,9864,6397338.8,1752,64026.8,33,205821.1,878,1413039.7,339,2625943.2,167,52801,16,438334.5,281,357,1,2106942.4,825,2586054.7,1638
단양군,60968615,45440,12784933.4,15164,1094867.1,556,2204538,363,641313474.4,19901,0,0,6501735.1,16434,2219796.5,499,553083.2,150,78757.3,84,32192.2,39,208284.1,347,14558307.5,22954,1888168,1479,269625,497,20476331.1,3729,4910133.1,2278,3919051.5,934,10616,8,15287.6,29,213991.4,46,920876.2,135,204780,46,243614,217,4772,6,3015365.8,682,0,0
