토지소재명,전 면적(제곱미터),전 지번수,답 면적(제곱미터),답 지번수,과수원 면적(제곱미터),과수원 지번수,목장용지 면적(제곱미터),목장용지 지번수,임야 면적(제곱미터),임야 지번수,광천지 면적(제곱미터),광천지 지번수,대 면적(제곱미터),대 지번수,공장용지 면적(제곱미터),공장용지 지번수,학교용지 면적(제곱미터),학교용지 지번수,주차장 면적(제곱미터),주차장 지번수,주유소용지 면적(제곱미터),주유소용지 지번수,창고용지 면적(제곱미터),창고용지 지번수,도로 면적(제곱미터),도로 지번수,철도용지 면적(제곱미터),철도용지 지번수,제방 면적(제곱미터),제방 지번수,하천 면적(제곱미터),하천 지번수,구거 면적(제곱미터),구거 지번수,유지 면적(제곱미터),유지 지번수,양어장 면적(제곱미터),양어장 지번수,수도용지 면적(제곱미터),수도용지 지번수,공원 면적(제곱미터),공원 지번수,체육용지 면적(제곱미터),체육용지 지번수,유원지 면적(제곱미터),유원지 지번수,종교용지 면적(제곱미터),종교용지 지번수,사적지 면적(제곱미터),사적지 지번수,묘지 면적(제곱미터),묘지 지번수,잡종지 면적(제곱미터),잡종지 지번수
청주 상당구,32488971.2,26804,35816973.7,27867,779932.8,574,1509571.9,557,269521016.1,17691,7,1,13363791.9,29975,858109.4,382,3018746.7,471,116929.5,181,79240.8,99,359170.3,431,12080306.8,23090,13.2,1,572614.6,987,8983583.9,2905,7344981.9,4693,12376862.9,1577,43075,27,122051.8,172,414733.6,198,604308,55,148649,10,321078.8,332,42953.9,5,1286132.9,574,2186676.2,1021
청주 서원구,11274838.9,11522,15804043.2,12934,208187,119,294762.3,248,59916402.1,8725,0,0,10770951,22283,2690461.2,1054,1743520.3,172,88825.1,101,86524.5,97,726861.8,391,8087580.4,14611,572787,402,95853.3,259,3938362.9,989,2904518.6,2550,145172,133,7179,7,706171.5,1025,685215.8,227,349305.9,71,8581,3,231173.4,185,0,0,351489,236,947649.2,778
청주 흥덕구,20480583.4,19038,37305834.5,24515,726995.5,438,701311,422,68099610.6,10655,0,0,16247621.6,28770,11601913.1,2104,1842260.2,247,203036.9,149,129713.1,141,663423.3,759,13971504.3,18532,1544955,1829,1103115.3,964,11527869.6,2240,6014206,5808,894158.7,437,40811,43,337486.3,954,2488509.8,619,109169,21,5400,2,165494.9,157,59449.5,17,457431,342,2090691.4,1121
청주 청원구,24890545.1,22090,41660605.1,22401,823983.2,470,1491921.1,569,74013534.3,12157,42,4,13578713.1,25501,7677992.2,2607,2116984.1,201,154247.4,221,126175.5,132,562035.1,491,14962787.6,19424,580517.2,685,985966,1306,10721072.4,3204,6705451.6,8159,1281627.8,808,18616.1,14,61411.7,24,2311330.6,297,1051896,175,58967,9,262405.7,165,2425,2,333924,327,8574922,1585
충주시,78555266.6,60633,78515974.9,57247,16239811.1,8431,3407157.6,1180,614154721.6,32338,3,1,26127758.7,51748,10365320.8,1634,2868860.2,351,346446.7,323,221393.2,231,1063407.6,1214,38857012.5,57264,1407927.8,1645,2112654.2,2691,37941251.9,8604,14431555.1,11469,32163107,4881,247306,147,535331.8,1343,1491352.8,435,3885832.5,257,442746.2,73,547185.3,543,39586,32,2032234.1,1182,15494483.9,7983
제천시,75494840.5,54445,33766780.3,27374,4170065.1,1597,3493340.3,760,643823030.7,30466,0,0,15832486.2,34284,3613570.5,673,2003734.5,227,356008.9,439,264421.4,225,957710.7,1313,23263714.1,33585,2546326.3,2429,1028424.6,2114,21244070.4,6109,6580061.8,4241,35374204.3,5177,27874,25,117866,51,804669.6,198,846791.1,72,455842,99,432773.5,361,8359.6,12,2033506.4,861,4894064.7,2874
보은군,51385037.8,40102,58972352.1,39081,2359375.4,1010,2037351.2,763,399024100.3,18211,0,0,9121477.5,18771,1940208.4,339,743590.2,161,48274.4,57,52830.8,73,402474.9,549,15513332.8,27915,0,0,1845966.3,2289,12451370,2974,11065792.4,7586,13090860.8,1588,40001,36,31491.9,35,181009.6,38,716990,45,118192.5,30,229790.7,202,187909,29,1470362.3,861,1133686.1,1005
옥천군,55670772.1,46950,43729710.5,37900,3473315.4,1936,1299273.3,714,345934647.2,22034,0,0,10375917.6,22178,2546793.7,895,681208,213,134781.4,134,57024,74,697307.6,576,16011967.4,25274,1633070.4,2229,517443.8,895,14346103.6,4012,10310487.9,7863,25963348.2,2366,62806.9,41,48996.1,34,83221.1,36,196183,67,134223,26,235020.3,196,3697,8,1673052.4,1406,1381500.2,1128
영동군,51030728.8,52616,52724562.5,50102,7346624.5,4279,1951612,491,651363366.3,25788,0,0,10071451.6,24846,2035678.5,441,751412,180,73158.8,85,50282,79,729583.7,978,18353850.7,37763,2664024,3035,713693.4,1271,24627520.8,8804,11958600.3,7021,1301567.5,681,25547,19,97255.1,117,442346.4,114,145195.7,24,258349,97,234497.4,237,30864,18,1617135.8,1101,5406633.5,3373
증평군,9515505.3,8324,13334023.6,8922,320845.4,165,300009.3,177,39925595.1,3728,0,0,4349599.3,8171,1913788.3,244,482113.1,51,46113,50,35088,47,191120.7,265,3853568.1,7466,413132,313,199926.1,262,2176768.9,753,2282181.8,1998,759216.4,227,7985,5,38077,61,407354.5,103,119098,25,11638,1,78441.5,75,0,0,138710.8,105,896149,549
진천군,33920682.4,32839,58751268.8,37186,1805585.7,852,2151520.7,904,228513190.5,16537,0,0,11301028.9,20296,12695323.4,2951,943101.7,162,187379.6,193,92033.6,105,640646,531,15664668.8,31380,0,0,1392775.2,2093,10923714.7,3594,10849516.1,10237,6353273.5,1608,146943.1,90,112960.9,259,1546388.2,272,5109088.2,529,85688,43,374173.3,282,27910.1,10,936310.4,538,2711967.5,1479
괴산군,75505076,54683,57994489.8,41752,2837949.3,1131,3583280.1,899,622582143.9,21572,0,0,12736267.8,24642,3249822.5,658,1074049,193,87119.2,90,98438.8,130,523405.3,708,20614627.7,32566,0,0,1054137.6,2172,17816986.7,3539,13685365.6,8983,2859215.6,1141,79271.3,57,35688.8,209,187768.3,16,156006.6,71,248380,64,256666,275,31681,13,1407720,624,3499608.5,1317
음성군,61417904,49305,73943249.1,51759,8513878.7,4055,3559647.5,1159,268494797.5,26222,0,0,16157286.1,28621,21220083.8,5092,1115415.1,204,178426.5,121,204245,212,835885.5,730,23158174.3,36057,853562,1202,1188701.2,1544,11172141.7,6685,11327396.9,9955,6406884.4,1760,64026.8,33,206553.5,879,1485460.3,358,2630941.2,170,52857,17,443214.5,280,357,1,2109963.4,829,3461714.3,2155
단양군,60921952.4,45627,12771361.3,15240,1094110.1,573,2204009,363,640156813.9,20005,0,0,6551912.1,16516,2219667.5,498,553083.2,153,78757.3,84,32192.2,39,212210.1,354,14563336.7,23027,1888168,1479,269625,498,20476107.1,3728,4909893.1,2285,3914453.5,944,10616,8,15287.6,29,213991.4,46,920876.2,135,204780,46,244674,218,4772,6,3015365.8,683,2596949.7,1652
