토지소재명,전 면적,전 지번수,답 면적,답 지번수,과수원 면적,과수원 지번수,목장용지 면적,목장용지 지번수,임야 면적,임야 지번수,광천지 면적,광천지 지번수,대 면적,대 지번수,공장용지 면적,공장용지 지번수,학교용지 면적,학교용지 지번수,주차장 면적,주차장 지번수,주유소용지 면적,주유소용지 지번수,창고용지 면적,창고용지 지번수,도로 면적,도로 지번수,철도용지 면적,철도용지 지번수,제방 면적,제방 지번수,하천 면적,하천 지번수,구거 면적,구거 지번수,유지 면적,유지 지번수,양어장 면적,양어장 지번수,수도용지 면적,수도용지 지번수,공원 면적,공원 지번수,체육용지 면적,체육용지 지번수,유원지 면적,유원지 지번수,종교용지 면적,종교용지 지번수,사적지 면적,사적지 지번수,묘지 면적,묘지 지번수,잡종지 면적,잡종지 지번수
청주 상당구,31889910.70 ,26677 ,34293175.00 ,27234 ,693199.10 ,512 ,1491631.00 ,607 ,267757653.10 ,17749 ,7 ,1 ,14559233.30 ,30628 ,923582.40 ,427 ,3072347.60 ,492,163443.70 ,207,85917.30 ,106,375218.30 ,469 ,12584094.40 ,24174 ,13.20 ,1 ,558781.60 ,959 ,8013832.20 ,2863 ,7168231.30 ,4924 ,14772408.90 ,2524 ,42569.80 ,28 ,125943.50 ,169 ,835270.20 ,312 ,577726.00 ,46 ,163559.00 ,15 ,350925.20 ,348 ,42953.90 ,5 ,1288343.70 ,596 ,2448501.00 ,1118 
청주 서원구,11101450.60 ,11379 ,15246233.00 ,12653 ,204694.70 ,121 ,300732.70 ,261 ,59374101.80 ,8878 ,0 ,0 ,11429186.10 ,22438 ,3052163.70 ,1316 ,1736858.50 ,174,112099.10 ,115,88218.50 ,102,759511.10 ,408 ,8274677.60 ,15602 ,572787.00 ,404 ,94948.60 ,256 ,3941075.70 ,1010 ,2889618.90 ,2674 ,145006.30 ,133 ,7179.00 ,7 ,707089.10 ,1040 ,686144.50 ,229 ,347405.30 ,71 ,5276.00 ,1 ,241689.40 ,187 ,0.00 ,0 ,330183.80 ,256 ,1015192.10 ,835 
청주 흥덕구,20016410.10 ,18762 ,36153913.10 ,24167 ,741615.40 ,430 ,713459.50 ,468 ,67129836.50 ,10803 ,0 ,0 ,17332509.10 ,29702 ,12280575.50 ,2487 ,1830200.80 ,257,233078.60 ,177,122386.00 ,153,722658.10 ,828 ,14452336.20 ,20360 ,1629267.60 ,2118 ,1099138.20 ,995 ,11733648.30 ,2306 ,5959939.60 ,6145 ,879180.80 ,442 ,46358.00 ,64 ,349546.30 ,1035 ,2573269.00 ,666 ,180686.30 ,30 ,5400.00 ,2 ,179211.90 ,169 ,59449.50 ,17 ,407651.80 ,346 ,2266993.40 ,1211 
청주 청원구,24319565.30 ,22116 ,40779545.90 ,22465 ,788303.20 ,465 ,1515237.90 ,626 ,72750903.00 ,12558 ,42 ,4 ,14403701.20 ,26460 ,8482334.90 ,3120 ,2139600.20 ,212,195532.10 ,233,123135.40 ,126,798785.00 ,543 ,15199441.10 ,21132 ,576879.20 ,686 ,986490.00 ,1317 ,10727643.70 ,3278 ,6664611.30 ,8374 ,1279673.40 ,830 ,12707.00 ,13 ,59791.70 ,21 ,2443691.30 ,305 ,1057771.00 ,185 ,70009.00 ,12 ,265689.20 ,168 ,2425.00 ,2 ,336992.00 ,360 ,9028725.80 ,1893 
충주시,78329132.60 ,62484 ,76972717.40 ,58493 ,16028806.60 ,8756 ,3255790.60 ,1224 ,612084104.70 ,33399 ,3 ,1 ,27366995.00 ,54308 ,10776591.70 ,1813 ,2868029.20 ,357,354188.40 ,371,217360.20 ,237,1195987.30 ,1395 ,39217491.60 ,59679 ,1406808.80 ,1678 ,2114396.00 ,2759 ,37960723.40 ,8880 ,14405309.50 ,12004 ,32156930.10 ,4905 ,252141.00 ,149 ,534773.60 ,1371 ,1519804.30 ,448 ,4363123.90 ,265 ,520643.20 ,145 ,571569.30 ,568 ,39587.30 ,33 ,2588624.90 ,1236 ,16165583.60 ,8687 
제천시,74684280.20 ,55066 ,32577053.90 ,27184 ,4104135.70 ,1667 ,3471567.20 ,766 ,641028327.40 ,31158 ,0 ,0 ,16958879.50 ,35766 ,4377336.70 ,771 ,2118162.10 ,265,478218.40 ,552,273145.40 ,237,1170620.20 ,1550 ,24261713.40 ,35356 ,2496715.40 ,2686 ,1018226.30 ,2069 ,21284070.80 ,6442 ,6519200.10 ,4406 ,35398422.60 ,5251 ,28235.00 ,31 ,139499.90 ,56 ,1036176.00 ,216 ,933640.20 ,87 ,626270.10 ,170 ,494898.50 ,368 ,8635.60 ,12 ,2007055.80 ,886 ,5308869.40 ,3013 
보은군,51298870.40 ,40337 ,58059614.00 ,38734 ,2307997.30 ,1004 ,2020182.50 ,792 ,398379278.40 ,18453 ,0 ,0 ,9601780.80 ,19456 ,2222819.50 ,373 ,742235.20 ,171,60845.00 ,71,50487.80 ,70,465160.30 ,603 ,15940238.10 ,28802 ,0.00 ,0 ,1856816.90 ,2401 ,12517970.20 ,3446 ,10999367.50 ,7655 ,13072662.30 ,1581 ,43939.00 ,36 ,64677.10 ,34 ,248145.50 ,48 ,846477.00 ,53 ,130188.50 ,40 ,232791.90 ,206 ,187909.00 ,29 ,1463712.20 ,883 ,1452819.70 ,1189 
옥천군,55193389.80 ,47157 ,42810925.80 ,37589 ,3545700.40 ,2027 ,1277505.00 ,729 ,344945585.70 ,22469 ,0 ,0 ,11000008.30 ,22995 ,2889200.50 ,992 ,680506.10 ,204,170751.70 ,175,56669.40 ,75,784894.80 ,661 ,16724357.30 ,25964 ,1633125.40 ,2261 ,516619.60 ,898 ,14375048.30 ,4045 ,10275076.20 ,8063 ,25956487.60 ,2365 ,56061.90 ,37 ,50431.10 ,34 ,200194.80 ,136 ,195005.00 ,67 ,143878.00 ,43 ,244603.80 ,214 ,3697.00 ,8 ,1670427.40 ,1442 ,1970184.00 ,1551 
영동군,50770307.70 ,52594 ,51819483.60 ,49853 ,7523807.90 ,4451 ,1940365.50 ,534 ,651307042.50 ,26207 ,0 ,0 ,10516262.10 ,25587 ,2092372.50 ,469 ,806572.80 ,181,103114.80 ,116,49243.00 ,79,835364.70 ,1137 ,18928210.10 ,38632 ,2663952.00 ,3042 ,713904.40 ,1282 ,24769142.80 ,8977 ,11860047.60 ,7770 ,1450157.00 ,781 ,28657.00 ,23 ,97145.10 ,116 ,440812.90 ,113 ,157398.70 ,28 ,291094.00 ,108 ,241918.10 ,251 ,30864.00 ,18 ,1639848.30 ,1120 ,5829156.90 ,3607 
증평군,9408688.10 ,8431 ,12998886.60 ,8975 ,330874.40 ,181 ,301541.50 ,178 ,39669948.90 ,3871 ,0 ,0 ,4569391.00 ,8298 ,2001850.30 ,320 ,480187.00 ,43,47646.20 ,53,35885.50 ,44,196943.70 ,275 ,4074053.40 ,7891 ,409644.00 ,304 ,198861.10 ,260 ,2176049.10 ,901 ,2260350.40 ,2213 ,760561.40 ,227 ,7985.00 ,5 ,41010.00 ,62 ,426824.20 ,103 ,119098.00 ,25 ,11638.00 ,1 ,80533.50 ,77 ,0.00 ,0 ,143490.10 ,117 ,1051621.00 ,670 
