Region,Road_Area,Factory_Area,House_Area,Forest_Area,Farm_Area,Population,Year
청주 상당구,11887782.0,791534.0,13031006.0,270039767.0,69259882.0,69624.0,2017
청주 상당구,12052421.3,817344.2,13251144.6,269687429.8,69186084.5,72401.0,2018
청주 상당구,12080306.8,858109.4,13363791.9,269521016.1,69085877.7,73870.0,2019
청주 상당구,12094623.0,861044.4,13402712.0,269389775.1,69063373.3,81185.0,2020
청주 상당구,12298800.1,885785.9,13856789.45,268983222.65,68489781.4,84184.5,2021
청주 상당구,12502977.2,910527.4,14310866.9,268576670.2,67916189.5,87184.0,2022
청주 상당구,12584094.4,923582.4,14559233.3,267757653.1,66876284.800000004,89763.0,2023
청주 상당구,12634333.4,956865.3,14669157.4,267231501.9,66236980.6,89601.0,2024
청주 상당구,12654783.9,959634.3,14844498.9,267003437.7,66072780.300000004,89305.0,2025
청주 서원구,8044185.0,2562610.0,10588041.0,60254470.0,27381699.0,88484.0,2017
청주 서원구,8051368.8,2642003.4,10666490.0,59926618.3,27044298.700000003,87678.0,2018
청주 서원구,8087580.4,2690461.2,10770951.0,59916402.1,27287069.1,87148.0,2019
청주 서원구,8092614.2,2748928.2,10800500.2,59877469.1,27219402.299999997,87404.0,2020
청주 서원구,8128297.85,2867379.3,11027507.75,59689956.900000006,27012634.25,88752.5,2021
청주 서원구,8163981.5,2985830.4,11254515.3,59502444.7,26805866.2,90101.0,2022
청주 서원구,8274677.6,3052163.7,11429186.1,59374101.8,26552378.3,88901.0,2023
청주 서원구,8311955.9,3075281.2,11590978.6,59280771.7,26285346.4,87924.0,2024
청주 서원구,8327029.7,3149033.6,11733302.7,59145779.9,26144949.3,89484.0,2025
청주 흥덕구,12948338.0,10545006.0,14972968.0,69743663.0,60716422.0,106959.0,2017
청주 흥덕구,13412142.6,10688231.1,15257479.0,69037589.0,60399233.3,109293.0,2018
청주 흥덕구,13971504.3,11601913.1,16247621.6,68099610.6,58513413.4,114477.0,2019
청주 흥덕구,13987257.3,11640014.1,16281089.6,68056641.6,58469364.4,120261.0,2020
청주 흥덕구,14190745.7,11921854.8,16682043.5,67666299.15,57825608.0,122995.5,2021
청주 흥덕구,14394234.1,12203695.5,17082997.4,67275956.7,57181851.6,125730.0,2022
청주 흥덕구,14452336.2,12280575.5,17332509.1,67129836.5,56911938.6,130239.0,2023
청주 흥덕구,14488950.5,12348637.8,17517375.1,66979483.1,56694596.4,136436.0,2024
청주 흥덕구,14761234.1,12953147.0,18242335.8,66537054.5,55509669.7,139942.0,2025
청주 청원구,13927373.0,7019644.0,13385701.0,75217720.0,68155113.0,80933.0,2017
청주 청원구,14920398.6,7552669.8,13506731.2,74157044.3,67581123.1,83948.0,2018
청주 청원구,14962787.6,7677992.2,13578713.1,74013534.3,67375133.4,85001.0,2019
청주 청원구,14977434.6,7740691.8,13616475.2,73899234.7,67313895.5,87402.0,2020
청주 청원구,15059450.55,7991484.25,13895098.3,73458770.95,66756329.550000004,89042.0,2021
청주 청원구,15141466.5,8242276.7,14173721.4,73018307.2,66198763.60000001,90682.0,2022
청주 청원구,15199441.1,8482334.9,14403701.2,72750903.0,65887414.400000006,90189.0,2023
청주 청원구,15442139.4,8709809.0,14875710.6,72348979.5,65202861.699999996,90608.0,2024
청주 청원구,15472324.2,9409628.8,15133082.0,71666135.0,64772923.4,90807.0,2025
충주시,37794219.0,10031765.0,25396480.0,615928192.0,174579836.0,90246.0,2017
충주시,38669505.6,10308243.8,25647695.7,614508172.4,174327291.20000002,93163.0,2018
충주시,38857012.5,10365320.8,26127758.7,614154721.6,173311052.6,95648.0,2019
충주시,38889725.1,10368737.8,26207123.7,614079593.6,173167320.29999998,98020.0,2020
충주시,39007606.1,10507979.7,26646767.299999997,613674725.9000001,172449742.3,99431.5,2021
충주시,39125487.1,10647221.6,27086410.9,613269858.2,171732164.3,100843.0,2022
충주시,39217491.6,10776591.7,27366995.0,612084104.7,171330656.6,102143.0,2023
충주시,39355166.6,10936893.9,27633287.7,611780856.8,170920885.1,103470.0,2024
충주시,39780126.5,11802125.4,28019805.9,610603457.6,169802720.9,104563.0,2025
제천시,23048708.0,3546557.0,15345719.0,644959873.0,113666711.0,61949.0,2017
제천시,23171715.5,3584442.5,15589697.8,644185792.1,113699231.10000001,62367.0,2018
제천시,23263714.1,3613570.5,15832486.2,643823030.7,113431685.89999999,63417.0,2019
제천시,23513222.1,3608899.5,15907384.8,643729340.4,113150804.6,63945.0,2020
제천시,23811175.75,3790422.5,16297916.2,642698740.3499999,112616705.2,64690.5,2021
제천시,24109129.4,3971945.5,16688447.6,641668140.3,112082605.80000001,65436.0,2022
제천시,24261713.4,4377336.7,16958879.5,641028327.4,111365469.8,66038.0,2023
제천시,24357415.5,4373013.4,17151124.2,640819859.9,111081426.9,65881.0,2024
제천시,24454286.0,4351133.1,17386194.6,640213625.7,110759915.0,66399.0,2025
