연도,행정구역명,임야면적,임야면적_비율,농경지면적,농경지면적_비율,대지면적,대지면적_비율,공장용지면적,공장용지면적_비율,총면적
2017,괴산군,622999108,80.65,133869169,17.33,12382855,1.6,3179572,0.41,772430704
2017,단양군,641386145,88.61,73829919,10.2,6398287,0.88,2220228,0.31,723834579
2017,보은군,399338385,76.68,110547287,21.23,8970565,1.72,1939768,0.37,520796005
2017,영동군,652670874,84.93,104473775,13.6,9890041,1.29,1417428,0.18,768452118
2017,옥천군,346160928,75.48,99764181,21.75,10173479,2.22,2508364,0.55,458606952
2017,음성군,270174307,61.15,136052132,30.79,15522290,3.51,20093514,4.55,441842243
2017,제천시,644959873,83.38,109641962,14.17,15345719,1.98,3546557,0.46,773494111
2017,증평군,39975891,57.82,22954206,33.2,4301767,6.22,1906426,2.76,69138290
2017,진천군,229389485,66.37,92949810,26.89,11011235,3.19,12257369,3.55,345607899
2017,청주 상당구,270039767,76.63,68546933,19.45,13031006,3.7,791534,0.22,352409240
2017,청주 서원구,60254470,59.9,27194317,27.03,10588041,10.52,2562610,2.55,100599438
2017,청주 청원구,75217720,46.16,67339345,41.32,13385701,8.21,7019644,4.31,162962410
2017,청주 흥덕구,69743663,44.95,59896472,38.6,14972968,9.65,10545006,6.8,155158109
2017,충주시,615928192,76.07,158278028,19.55,25396480,3.14,10031765,1.24,809634465
2018,괴산군,622675764,80.64,133646462,17.31,12618113,1.63,3245120,0.42,772185460
2018,단양군,641313474,88.61,73753548,10.19,6501735,0.9,2219796,0.31,723788554
2018,보은군,399099217,76.68,110387571,21.21,9078677,1.74,1940396,0.37,520505862
2018,영동군,651382753,84.9,103838520,13.53,10021618,1.31,2031576,0.26,767274469
2018,옥천군,345994209,75.48,99532192,21.71,10300948,2.25,2544047,0.56,458371398
2018,음성군,269185679,60.98,135744229,30.75,15816140,3.58,20706211,4.69,441452260
2018,제천시,644185792,83.35,109516623,14.17,15589697,2.02,3584442,0.46,772876555
2018,증평군,39933432,57.82,22876979,33.13,4341897,6.29,1910240,2.77,69062549
2018,진천군,228826595,66.26,92789303,26.87,11212782,3.25,12523672,3.63,345352354
2018,청주 상당구,269687429,76.58,68420953,19.43,13251144,3.76,817344,0.23,352176872
2018,청주 서원구,59926618,59.88,26840525,26.82,10666490,10.66,2642003,2.64,100075637
2018,청주 청원구,74157044,45.78,66753063,41.21,13506731,8.34,7552669,4.66,161969509
2018,청주 흥덕구,69037589,44.67,59551503,38.54,15257479,9.87,10688231,6.92,154534802
2018,충주시,614508172,76.04,157657150,19.51,25647695,3.17,10308243,1.28,808121262
2019,괴산군,622582143,80.64,133499565,17.29,12736267,1.65,3249822,0.42,772067799
2019,단양군,640156813,88.59,73693313,10.2,6551912,0.91,2219667,0.31,722621707
2019,보은군,399024100,76.67,110357389,21.2,9121477,1.75,1940208,0.37,520443176
2019,영동군,651363366,84.9,103755291,13.52,10071451,1.31,2035678,0.27,767225787
2019,옥천군,345934647,75.49,99400482,21.69,10375917,2.26,2546793,0.56,458257841
2019,음성군,268494797,60.85,135361153,30.68,16157286,3.66,21220083,4.81,441233320
2019,제천시,643823030,83.34,109261620,14.14,15832486,2.05,3613570,0.47,772530708
2019,증평군,39925595,57.83,22849528,33.1,4349599,6.3,1913788,2.77,69038511
2019,진천군,228513190,66.2,92671951,26.85,11301028,3.27,12695323,3.68,345181493
2019,청주 상당구,269521016,76.56,68305944,19.4,13363791,3.8,858109,0.24,352048862
2019,청주 서원구,59916402,59.64,27078882,26.96,10770951,10.72,2690461,2.68,100456696
2019,청주 청원구,74013534,45.74,66551150,41.13,13578713,8.39,7677992,4.74,161821389
2019,청주 흥덕구,68099610,44.3,57786417,37.59,16247621,10.57,11601913,7.55,153735563
2019,충주시,614154721,76.04,157071241,19.45,26127758,3.23,10365320,1.28,807719042
2020,괴산군,622565935,80.66,133240720,17.26,12802308,1.66,3249822,0.42,771858786
2020,단양군,640167203,88.59,73658537,10.19,6568966,0.91,2220664,0.31,722615372
2020,보은군,399021673,76.67,110300261,21.19,9155166,1.76,1945061,0.37,520422163
2020,영동군,651299386,84.9,103690293,13.52,10098858,1.32,2060843,0.27,767149381
