토지소재명,전 면적(㎡),전 지번수,답 면적(㎡),답 지번수,과수원 면적(㎡),과수원 지번수,목장용지 면적(㎡),목장용지 지번수,임야 면적(㎡),임야 지번수,광천지 면적(㎡),광천지 지번수,대 면적(㎡),대 지번수,공장용지 면적(㎡),공장용지 지번수,학교용지 면적(㎡),학교용지 지번수,주차장 면적(㎡),주차장 지번수,주유소용지 면적(㎡),주유소 지번수,창고용지 면적(㎡),창고용지 지번수,도로 면적(㎡),도로 지번수,철도용지 면적(㎡),철도용지 지번수,제방 면적(㎡),제방 지번수,하천 면적(㎡),하천 지번수,구거 면적(㎡),구거 지번수,유지 면적(㎡),유지 지번수,양어장 면적(㎡),양어장 지번수,수도용지 면적(㎡),수도용지 지번수,공원 면적(㎡),공원 지번수,체육용지 면적(㎡),체육용지 지번수,유원지 면적(㎡),지번수,종교용지 면적(㎡),종교용지 지번수,사적지 면적(㎡),사적지 지번수,묘지 면적(㎡),묘지 지번수,잡종지 면적(㎡),잡종지 지번수
청주 상당구,32451037,26613,36095896,27623,712949,520,1478684,533,270039767,17403,7,1,13031006,29989,791534,350,3057187,473,114532,190,77100,100,333288,417,11887782,22495,13,1,572682,981,8967896,2861,7344753,4591,12372524,1562,44427,29,119277,155,401770,188,598076,81,148649,10,306352,307,42954,5,1286917,565,2137670,1005
청주 서원구,11237418,11495,15956899,12942,187382,115,291229,243,60254470,8686,,,10588041,22055,2562610,977,1746344,175,90332,98,85908,100,677345,382,8044185,14321,572787,402,95853,259,3941309,989,2902930,2516,145338,134,7179,7,704695,1016,686322,225,344330,70,5276,1,231173,185,,,355002,242,910442,779
청주 흥덕구,21207672,19726,38688800,25470,819950,498,723242,429,69743663,10893,,,14972968,28016,10545006,1883,1743818,240,172517,118,120079,134,648707,761,12948338,17280,1544847,1828,1110808,972,11532571,2184,6131310,5770,860920,446,40738,42,327869,1046,2123535,528,108448,20,5400,2,161192,152,59450,17,467915,353,2004596,1094
청주 청원구,25071704,22210,42267641,22721,815768,487,1614656,553,75217720,12209,42,4,13385701,25209,7019644,2409,2134938,215,141556,214,120301,124,525565,466,13927373,18359,580887,686,986173,1307,10686487,3174,6722025,8089,1265191,806,18616,15,57843,23,2258400,282,1051503,176,51593,8,259331,166,2425,2,332844,323,8431769,1514
충주시,78747224,60040,79530804,57074,16301808,8329,3435768,1144,615928192,31724,3,1,25396480,50692,10031765,1573,2874794,367,316384,300,219043,229,1023269,1141,37794219,55528,1413179,1645,2113049,2668,37956903,8432,14461322,11127,32155970,4880,240985,141,535373,1330,1339106,377,3579807,247,388653,50,532078,530,39586,32,2029030,1164,15140404,7682
제천시,75527189,53951,34114773,27406,4024749,1497,3483725,758,644959873,29966,,,15345719,33696,3546557,625,1992468,242,300636,395,257628,222,853570,1168,23048708,33047,2509914,2406,1020353,2041,21213353,6015,6616541,4118,35375132,5132,27482,24,117866,51,716474,185,828402,72,427016,78,421136,346,8360,12,2035424,852,4624695,2662
보은군,51304464,39778,59242823,38979,2271518,927,2020932,703,399338385,18065,,,8970565,18499,1939768,341,744275,162,43811,50,52867,77,382666,516,15458947,27651,,,1845685,2283,12475442,2980,11089584,7596,13085787,1582,37511,36,31430,34,180857,41,716990,44,118125,28,226901,195,187909,29,1468275,848,986417,960
옥천군,55784712,46814,43979469,37908,3397023,1864,1296896,706,346160928,21844,,,10173479,21827,2508364,850,681208,206,116185,124,56853,74,665830,542,15852333,24820,1634605,2195,517856,896,14382898,3979,10245180,7786,25970890,2368,63807,40,48996,34,82870,29,196183,67,127086,22,232999,195,3697,8,1674337,1387,1315542,1091
영동군,51283250,52566,53190525,50111,7172056,4180,1947537,479,652670874,25656,,,9890041,24385,1417428,376,749667,174,63482,79,50282,71,704683,903,17584994,36487,2668054,2989,714035,1230,24692168,8655,11993079,6808,1288102,678,25547,19,92330,115,188819,90,141686,21,243137,89,233999,228,30444,18,1617265,1095,5306961,3292
증평군,9505526,8323,13448680,8915,319798,161,300919,178,39975891,3620,,,4301767,8034,1906426,240,482842,55,45915,49,35088,47,187812,256,3821930,7397,413132,312,199926,261,2166113,716,2287980,1945,760609,229,7985,5,38077,61,407313,101,88022,26,11638,1,76880,74,,,134178,97,877746,531
진천군,33958647,32579,58991163,37015,1841867,853,2120734,883,229389485,16472,,,11011235,19753,12257369,2859,923701,168,166592,178,90769,102,599683,500,15532912,30958,,,1392715,2084,10929634,3534,10872912,10170,6337629,1581,149465,91,112354,255,1436409,251,5112968,523,99560,36,372567,268,27910,10,934451,526,2588482,1393
괴산군,75424105,54253,58445064,41647,2687475,1075,3711026,864,622999108,21228,,,12382855,24066,3179572,645,1090393,191,77180,82,102855,132,488512,667,20404058,31982,,,1054344,2167,17825570,3507,13656840,8866,2857232,1127,79271,56,35689,209,173474,11,153938,69,219728,44,254704,275,31681,13,1398431,612,3424880,1277
음성군,61629971,48840,74422161,51283,8301080,3861,3562906,1109,270174307,25760,,,15522290,27773,20093514,4677,1125514,205,142024,92,199884,205,779096,653,23010743,35201,858936,1183,1192256,1520,11187610,6574,11347952,9677,6395329,1741,65656,34,205821,876,1407157,321,2625943,164,52801,16,436779,280,357,1,2094592,815,3398725,2085
단양군,60925291,45269,12904628,15256,1095281,552,2326525,367,641386145,19801,,,6398287,16281,2220228,497,513418,144,75898,78,32192,39,195698,319,14508534,22764,1887627,1478,269625,497,20477746,3729,4910513,2283,3917440,934,10616,8,15288,29,215639,47,912104,133,195481,41,239739,217,4641,5,3014970,676,2493919,1604
