토지소재명,전 면적(제곱미터),전 지번수,답 면적(제곱미터),답 지번수,과수원 면적(제곱미터),과수원 지번수,목장용지 면적(제곱미터),목장용지 지번수,임야 면적(제곱미터),임야 지번수,광천지 면적(제곱미터),광천지 지번수,대 면적(제곱미터),대 지번수,공장용지 면적(제곱미터),공장용지 지번수,학교용지 면적(제곱미터),학교용지 지번수,주차장 면적(제곱미터),주차장 지번수,주유소용지 면적(제곱미터),주유소용지 지번수,창고용지 면적(제곱미터),창고용지 지번수,도로 면적(제곱미터),도로 지번수,철도용지 면적(제곱미터),철도용지 지번수,제방 면적(제곱미터),제방 지번수,하천 면적(제곱미터),하천 지번수,구거 면적(제곱미터),구거 지번수,유지 면적(제곱미터),유지 지번수,양어장 면적(제곱미터),양어장 지번수,수도용지 면적(제곱미터),수도용지 지번수,공원 면적(제곱미터),공원 지번수,체육용지 면적(제곱미터),체육용지 지번수,유원지 면적(제곱미터),유원지 지번수,종교용지 면적(제곱미터),종교용지 지번수,사적지 면적(제곱미터),사적지 지번수,묘지 면적(제곱미터),묘지 지번수,잡종지 면적(제곱미터),잡종지 지번수
청주 상당구,32490445.3,26850,35785912.9,27974,787015.1,583,1513178.7,572,269389775.1,17757,7,1,13402712,29970,861044.4,389,3019718.7,474,116929.5,182,79240.8,99,361777.3,438,12094623,23260,13.2,1,572179.6,982,8999914.9,2908,7340032.9,4694,12376361.9,1578,43075,27,122051.8,172,402205.6,197,604308,55,148649,10,320956.8,331,42953.9,5,1286132.9,576,2199074.9,1023
청주 서원구,11238573.1,11499,15772642.2,12923,208187,122,294216.3,247,59877469.1,8740,0,0,10800500.2,22309,2748928.2,1076,1742873.3,170,87335.1,96,86524.5,97,747953.8,392,8092614.2,14662,572787,402,95481.3,258,3938362.9,998,2903803.2,2565,145172,133,7179,7,706171.5,1025,685215.8,227,349305.9,71,8581,3,231173.4,185,0,0,348839,235,946047.8,781
청주 흥덕구,20488930.4,19117,37254019.5,24625,726414.5,441,701038,430,68056641.6,10775,0,0,16281089.6,28860,11640014.1,2131,1842260.2,248,205419.9,153,129713.1,145,663423.3,763,13987257.3,18715,1544534,1832,1103072.3,996,11527852.6,2258,6014027,5903,888085.7,436,40811,61,337486.3,958,2488509.8,633,110654,22,5400,2,167147.9,161,59449.5,17,457431,342,2091094.4,1123
청주 청원구,24877515.7,22125,41613300.6,22407,823079.2,466,1492903.5,574,73899234.7,12188,42,4,13616475.2,25550,7740691.8,2631,2116984.1,201,161118.3,224,126175.5,130,563749.1,494,14977434.6,19504,580517.2,685,985966,1309,10772752.4,3205,6691560.6,8154,1281627.8,808,18616.1,14,61411.7,24,2345266.5,300,1052053,177,58967,9,262405.7,166,2425,2,333924,327,8584868,1586
충주시,78511375.8,60639,78440475.4,57377,16215469.1,8411,3415384.6,1192,614079593.6,32369,3,1,26207123.7,51910,10368737.8,1633,2868942.2,353,346446.7,325,221393.2,230,1073055.6,1226,38889725.1,57455,1406631.8,1645,2112654.2,2691,37938540.7,8613,14426847.6,11518,32163107,4881,246922,147,535331.8,1345,1491352.8,435,3885468.5,257,447931.2,78,549915.3,545,39586,32,2029799.1,1184,15569142.9,8052
제천시,75369942.7,54317,33615524.8,27271,4165337.1,1609,3491398.3,759,643729340.4,30479,0,0,15907384.8,34348,3608899.5,672,2003734.5,227,360449.9,452,264421.4,225,970401.7,1328,23513222.1,34086,2546296.3,2443,1028471.6,2124,21230216.4,6092,6575396.8,4244,35374204.3,5177,27874,26,117866,51,811096.6,199,846791.1,72,455842,99,458255.5,358,8359.6,12,2034508.4,866,4900775.7,2875
보은군,51363677.4,40125,58936584.5,39070,2359911.4,1011,2041926.2,774,399021673.3,18244,0,0,9155166.5,18815,1945061.4,340,743590.2,162,49997.4,59,53098.8,74,408319.9,552,15515772.8,27943,0,0,1847171.3,2290,12450557,2973,11063956.4,7585,13096307.8,1590,40001,36,31491.9,35,181009.6,38,718757,47,118192.5,30,229790.7,202,187909,29,1471533.3,862,1177293.1,1023
옥천군,55649056.7,46958,43673758.2,37884,3475884.7,1938,1294107.3,715,345909358.2,22091,0,0,10415108.1,22227,2549612.7,898,681208,213,137354.4,140,57024,74,700568.6,580,16021513.4,25322,1633435.4,2231,517443.8,895,14345749.6,4014,10308200.2,7877,25963348.2,2366,62146.9,39,48996.1,34,83224.7,31,196183,67,134223,26,244473.3,203,3697,8,1675479.4,1414,1422395.2,1155
영동군,51008560.8,52603,52681732.9,50078,7363453.5,4286,1952267,494,651299386.3,25824,0,0,10098858.2,24899,2060843.5,447,751412,180,73300.8,86,51057,80,735569.7,986,18376366.7,37752,2664024,3035,713693.4,1271,24627236.8,8803,11956548.3,7028,1301096.5,681,25547,19,97255.1,117,442346.4,114,145195.7,24,258349,97,234497.4,238,30864,18,1617135.8,1101,5453882.5,3387
증평군,9519377,8327,13301671.6,9018,322048.4,168,299552.3,172,39902001.1,3724,0,0,4366283.9,8176,1913549.3,256,480837.1,47,47492.2,51,35088,47,191320.7,260,3865102.9,7537,412724,310,199711.1,261,2185203.9,792,2280271,2028,759216.4,227,7985,5,38077,61,423721.2,105,119098,25,11638,1,78441.5,75,0,0,138512.8,106,896936,558
진천군,33926482.7,32872,58727017.6,37183,1783602.7,849,2160202.7,909,228425596.7,16546,0,0,11332169,20366,12767228.4,2934,944712.7,160,189172.6,196,92033.6,105,645482,533,15676072.7,31401,0,0,1392775.2,2093,10923714.7,3594,10843917.3,10238,6353273.5,1609,146943.1,90,112960.9,259,1546388.2,272,5109088.2,529,85688,44,373618.3,282,27910.1,10,936640.4,539,2781851.1,1492
괴산군,75321863.3,54598,57918856.8,41805,2832915.3,1126,3586630.1,913,622565935.6,21584,0,0,12802308.6,24763,3249822.5,659,1065308,197,87119.2,90,97538.8,130,525411.3,713,20619546.7,32600,0,0,1054137.6,2175,17816780.7,3546,13662779.6,8981,2859639.6,1142,81127.3,58,37828.8,210,187768.3,16,159534.3,72,248849,65,256660,276,31681,13,1538138,625,3589164.5,1348
음성군,61358279.4,49316,73874277,51705,8510591.4,4072,3554993.5,1153,268410502.5,26226,0,0,16230236.1,28727,21352819.8,5172,1114519.1,202,180611.5,124,208635,214,840663.5,735,23179000.3,36126,851524,1188,1188667.2,1543,11169643.7,6689,11316929.9,9949,6406118.4,1761,64026.8,33,206553.5,879,1485460.3,358,2630941.2,170,52857,17,445661.5,283,357,1,2109687.4,830,3457348.3,2152
단양군,60902710.4,45694,12755827.3,15230,1094325.1,574,2204009,363,640167203.9,20033,0,0,6568966.1,16565,2220664.5,499,553083.2,154,78757.3,84,32192.2,39,213257.1,357,14563798.7,23051,1888168,1482,269625,500,20481988.1,3764,4909910.1,2288,3914453.5,945,10616,8,15287.6,29,213991.4,47,920876.2,135,204780,50,244674,219,4772,6,3015465.8,685,2665007.7,1670
