토지소재명,전 면적,전 지번수,답 면적,답 지번수,과수원 면적,과수원 지번수,목장용지 면적,목장용지 지번수,임야 면적,임야 지번수,광천지 면적,광천지 지번수,대 면적,대 지번수,공장용지 면적,공장용지 지번수,학교용지 면적,학교용지 지번수,주차장 면적,주차장 지번수,주유소용지 면적,주유소용지 지번수,창고용지 면적,창고용지 지번수,도로 면적,도로 지번수,철도용지 면적,철도용지 지번수,제방 면적,제방 지번수,하천 면적,하천 지번수,구거 면적,구거 지번수,유지 면적,유지 지번수,양어장 면적,양어장 지번수,수도용지 면적,수도용지 지번수,공원 면적,공원 지번수,체육용지 면적,체육용지 지번수,유원지 면적,유원지 지번수,종교용지 면적,종교용지 지번수,사적지 면적,사적지 지번수,묘지 면적,묘지 지번수,잡종지 면적,잡종지 지번수
청주 상당구,31588037.3,26518,33792147.9,27044,692595.1,491,1496522.6,612,267003437.7,17905,7,1,14844498.9,30666,959634.3,409,3068001.1,487,181220.7,224,85387.3,105,387856,490,12654783.9,24476,13.2,1,563263.9,972,7608532.2,2886,7086517,4973,16280919.7,3113,42569.8,28,110857.3,168,884351.6,336,592863,61,185435,21,361094.8,360,42953.9,7,1287516.8,585,2552571.5,1194
청주 서원구,10961723.7,11371,14969745.9,12355,213479.7,126,296226.7,258,59145779.9,8924,0,0,11733302.7,22753,3149033.6,1350,1737834.5,178,133607.8,128,105269.5,107,787891.4,426,8327029.7,15934,572787,406,90422.8,245,3868784.8,995,2877812.8,2771,143539.2,134,7179,7,791922.8,1435,686144.5,232,349409.3,76,23874,2,247020.4,190,0,0,329005.3,261,1052777.3,856
청주 흥덕구,19337038,18247,35426987.2,23805,745644.5,444,699934.9,446,66537054.5,10686,0,0,18242335.8,30128,12953147,2504,1892966.9,261,264305.5,191,123506,146,707870.1,827,14761234.1,20663,1669084,2007,1096695.2,987,11742729,2317,5901474.2,6160,880225.2,452,46358,64,355501.9,1168,2600024.4,689,184528.3,31,8931,4,182837.8,167,59449.5,17,396498.8,363,2272904.2,1249
청주 청원구,23797092.9,22050,40194775.4,22307,781055.1,457,1398384,623,71666135,12696,42,4,15133082,26984,9409628.8,3173,2145841.2,209,259959.3,287,122914.4,123,823020.3,562,15472324.2,21966,576765.8,696,986921.5,1327,10707871.1,3331,6602507.3,8464,1284790,848,12707,13,70135.3,22,2590617.2,338,1059721,188,91823,25,265908.2,162,2425,2,333837,359,9162052.9,1989
충주시,77789690.1,62564,76056479.2,57730,15956551.6,8813,3247300.7,1213,610603457.6,33540,3,1,28019805.9,55568,11802125.4,1964,2881651.2,356,385636.6,402,219770,240,1200107.8,1424,39780126.5,60532,1385560.2,1691,2115153.2,2775,37926040.7,8912,14397386.9,12263,32183037.7,4907,250257,151,707748.1,1957,1724757.4,472,4369027.9,272,647986.2,215,580321.7,584,39587.3,33,2597541.7,1264,16286447,8796
제천시,74472509.4,55478,32199368.3,27163,4088037.3,1680,3470607.6,761,640213625.7,31474,0,0,17386194.6,36201,4351133.1,771,2187696,283,520921.3,593,266778.4,233,1249620.4,1646,24454286,36200,2492347,2706,1000636.8,2077,21267560.6,6573,6504305.5,4457,35428142.8,5268,28235,31,144046.2,57,1048792.3,224,993772.5,94,723495.4,182,498118.9,372,7891.6,12,1995878.9,907,5381285.7,3114
보은군,51319798.9,40437,57889373.5,38746,2303988,1006,2015637.3,800,398248707.8,18569,0,0,9720004.5,19666,2224834.7,376,741323.8,172,67278,77,50553.1,71,483085.6,634,16026383.1,29066,0,0,1855319.6,2395,12389534.5,3419,11083664.8,7713,13132988.3,1685,42339,34,66711.6,42,248145.5,48,849563.5,56,128688.5,39,237961.3,210,187909,29,1459452.2,891,1529392.2,1249
옥천군,55115320.8,47063,42195830.9,37106,3535437.8,2045,1306945.3,727,344334686.3,22517,0,0,11367953.2,23486,2911437.7,1017,680410.1,205,186460.2,182,56134.4,73,796042.9,672,16942764.7,24836,1633164.5,2256,516348.1,891,13942624.7,3945,10246772.5,8089,26732756.7,2893,54448.9,36,50431.1,34,261069.4,69,195230.7,55,170145,53,247719.2,219,3697,8,1674510.4,1459,2239480.9,1827
영동군,50703281.1,52684,51420970.7,49688,7612434,4528,1954866.5,545,651350487.9,26510,0,0,10664330.9,25820,2097030.5,478,805407.3,175,131758.6,146,62735,85,867625.4,1186,18988118,38936,2663202.4,3050,713922.9,1285,24804874.7,9023,11789036.1,7922,1450046.7,824,26481,22,96959.1,115,441140.9,116,159832.5,29,295980.4,115,247101.1,256,30864,18,1631531.6,1125,6041366.9,3742
증평군,9365914.5,8424,12773786.4,8919,338660.4,183,296085.5,172,39641067.5,3913,0,0,4635846.5,8389,2123424.6,347,480187,43,57967.1,60,35346.5,44,201441,280,4090168.8,8037,409796.4,306,198861.1,262,2176079.7,935,2245490.6,2281,762644,228,7985,5,51435,111,438544.8,109,119098,25,11638,1,80343.1,77,0,0,144686.1,125,1111021.5,728
진천군,32758198.9,33034,57100304,37409,1664745.3,846,2332387.4,987,225244176.6,16900,0,0,12387448.8,22222,14846806.7,3271,938996.4,170,320348.2,265,98444.6,118,808065.2,645,16877088.9,33295,0,0,1392141.4,2109,10883724.2,3732,10744679.3,10431,6374712.5,1671,147616.3,88,108476.8,259,1975974.4,405,5728761,451,166447,58,389512.6,315,28099.1,10,932551.7,577,3133152.7,1748
괴산군,75801173.7,56824,55951964.8,42071,2878660.2,1230,3464210.8,942,620159799.6,22441,0,0,14080666.9,26845,3838482.4,737,1028932.9,209,125937.1,127,91293.6,123,693077.6,894,21181141.3,34017,0,0,1055217.5,2218,17982197,3731,13671254.7,9396,2875541.7,1194,99824.3,59,48225.9,215,462998,86,205467.7,80,361005,133,261719.9,290,34651,14,1541861.9,682,4322696.1,1839
음성군,58696097,49108,70975530.5,51045,8341987.4,4233,3526653.9,1187,262565513.2,26677,0,0,17790947.7,31059,25240613.2,6287,1153913.7,225,472916.1,266,215349.3,235,1310591.1,937,23990033.7,39579,842175.1,1217,1188050.3,1635,11187522,7272,11081451.2,10663,6406857.1,1788,60483.8,41,351018.3,1548,1834090,499,5464946.5,170,176174,31,478356.5,315,357,1,2096919.7,892,4637864.4,3185
단양군,59979197.3,46763,12399948.8,15437,1061495.2,604,2012720.2,372,640079070.9,20784,0,0,7083518.7,17404,2306385.4,540,537656.5,167,100215.1,99,32601.5,42,277808.9,424,14571941.4,23988,1888675.6,1701,270457.9,519,20410256,3923,4910491.5,2452,3937682.3,989,7941.5,8,21348.6,32,213959.2,47,925206.2,94,263589.6,83,262655,242,4772,6,3017004.2,716,3386999.2,2239
