연도,행정구역명,군집,임야면적_비율,농경지면적_비율,대지면적_비율,공장용지면적_비율,임야면적_변화량,농경지면적_변화량,대지면적_변화량,공장용지면적_변화량
2017,괴산군,농업/산림형,80.65,17.33,1.6,0.41,,,,
2017,단양군,농업/산림형,88.61,10.2,0.88,0.31,,,,
2017,보은군,농업/산림형,76.68,21.23,1.72,0.37,,,,
2017,영동군,농업/산림형,84.93,13.6,1.29,0.18,,,,
2017,옥천군,농업/산림형,75.48,21.75,2.22,0.55,,,,
2017,음성군,도시/산업형,61.15,30.79,3.51,4.55,,,,
2017,제천시,농업/산림형,83.38,14.17,1.98,0.46,,,,
2017,증평군,균형형,57.82,33.2,6.22,2.76,,,,
2017,진천군,도시/산업형,66.37,26.89,3.19,3.55,,,,
2017,청주 상당구,농업/산림형,76.63,19.45,3.7,0.22,,,,
2017,청주 서원구,균형형,59.9,27.03,10.52,2.55,,,,
2017,청주 청원구,도시/산업형,46.16,41.32,8.21,4.31,,,,
2017,청주 흥덕구,도시/산업형,44.95,38.6,9.65,6.8,,,,
2017,충주시,농업/산림형,76.07,19.55,3.14,1.24,,,,
2018,괴산군,농업/산림형,80.64,17.31,1.63,0.42,-0.010000000000005116,-0.019999999999999574,0.029999999999999805,0.010000000000000009
2018,단양군,농업/산림형,88.61,10.19,0.9,0.31,0.0,-0.009999999999999787,0.020000000000000018,0.0
2018,보은군,농업/산림형,76.68,21.21,1.74,0.37,0.0,-0.019999999999999574,0.020000000000000018,0.0
2018,영동군,농업/산림형,84.9,13.53,1.31,0.26,-0.030000000000001137,-0.07000000000000028,0.020000000000000018,0.08000000000000002
2018,옥천군,농업/산림형,75.48,21.71,2.25,0.56,0.0,-0.03999999999999915,0.029999999999999805,0.010000000000000009
2018,음성군,도시/산업형,60.98,30.75,3.58,4.69,-0.1700000000000017,-0.03999999999999915,0.07000000000000028,0.14000000000000057
2018,제천시,농업/산림형,83.35,14.17,2.02,0.46,-0.030000000000001137,0.0,0.040000000000000036,0.0
2018,증평군,균형형,57.82,33.13,6.29,2.77,0.0,-0.07000000000000028,0.07000000000000028,0.010000000000000231
2018,진천군,도시/산업형,66.26,26.87,3.25,3.63,-0.10999999999999943,-0.019999999999999574,0.06000000000000005,0.08000000000000007
2018,청주 상당구,농업/산림형,76.58,19.43,3.76,0.23,-0.04999999999999716,-0.019999999999999574,0.05999999999999961,0.010000000000000009
2018,청주 서원구,균형형,59.88,26.82,10.66,2.64,-0.01999999999999602,-0.21000000000000085,0.14000000000000057,0.0900000000000003
2018,청주 청원구,도시/산업형,45.78,41.21,8.34,4.66,-0.37999999999999545,-0.10999999999999943,0.129999999999999,0.35000000000000053
2018,청주 흥덕구,도시/산업형,44.67,38.54,9.87,6.92,-0.28000000000000114,-0.060000000000002274,0.21999999999999886,0.1200000000000001
2018,충주시,농업/산림형,76.04,19.51,3.17,1.28,-0.029999999999986926,-0.03999999999999915,0.029999999999999805,0.040000000000000036
2019,괴산군,농업/산림형,80.64,17.29,1.65,0.42,0.0,-0.019999999999999574,0.020000000000000018,0.0
2019,단양군,농업/산림형,88.59,10.2,0.91,0.31,-0.01999999999999602,0.009999999999999787,0.010000000000000009,0.0
2019,보은군,농업/산림형,76.67,21.2,1.75,0.37,-0.010000000000005116,-0.010000000000001563,0.010000000000000009,0.0
2019,영동군,농업/산림형,84.9,13.52,1.31,0.27,0.0,-0.009999999999999787,0.0,0.010000000000000009
2019,옥천군,농업/산림형,75.49,21.69,2.26,0.56,0.009999999999990905,-0.019999999999999574,0.009999999999999787,0.0
2019,음성군,도시/산업형,60.85,30.68,3.66,4.81,-0.12999999999999545,-0.07000000000000028,0.08000000000000007,0.11999999999999922
2019,제천시,농업/산림형,83.34,14.14,2.05,0.47,-0.009999999999990905,-0.02999999999999936,0.029999999999999805,0.009999999999999953
