연도,행정구역명,임야면적,임야면적_비율,농경지면적,농경지면적_비율,대지면적,대지면적_비율,공장용지면적,공장용지면적_비율,총면적,군집,청주시여부,임야면적_전년대비변화,농경지면적_전년대비변화,대지면적_전년대비변화,공장용지면적_전년대비변화
2017,청주 상당구,270039767,76.63,68546933,19.45,13031006,3.7,791534,0.22,352409240,농업/산림형,True,,,,
2017,청주 서원구,60254470,59.9,27194317,27.03,10588041,10.52,2562610,2.55,100599438,균형형,True,,,,
2017,청주 청원구,75217720,46.16,67339345,41.32,13385701,8.21,7019644,4.31,162962410,도시/산업형,True,,,,
2017,청주 흥덕구,69743663,44.95,59896472,38.6,14972968,9.65,10545006,6.8,155158109,도시/산업형,True,,,,
2018,청주 상당구,269687429,76.58,68420953,19.43,13251144,3.76,817344,0.23,352176872,농업/산림형,True,-0.04999999999999716,-0.019999999999999574,0.05999999999999961,0.010000000000000009
2018,청주 서원구,59926618,59.88,26840525,26.82,10666490,10.66,2642003,2.64,100075637,균형형,True,-0.01999999999999602,-0.21000000000000085,0.14000000000000057,0.0900000000000003
2018,청주 청원구,74157044,45.78,66753063,41.21,13506731,8.34,7552669,4.66,161969509,도시/산업형,True,-0.37999999999999545,-0.10999999999999943,0.129999999999999,0.35000000000000053
2018,청주 흥덕구,69037589,44.67,59551503,38.54,15257479,9.87,10688231,6.92,154534802,도시/산업형,True,-0.28000000000000114,-0.060000000000002274,0.21999999999999886,0.1200000000000001
2019,청주 상당구,269521016,76.56,68305944,19.4,13363791,3.8,858109,0.24,352048862,농업/산림형,True,-0.01999999999999602,-0.030000000000001137,0.040000000000000036,0.009999999999999981
2019,청주 서원구,59916402,59.64,27078882,26.96,10770951,10.72,2690461,2.68,100456696,균형형,True,-0.240000000000002,0.14000000000000057,0.0600000000000005,0.040000000000000036
2019,청주 청원구,74013534,45.74,66551150,41.13,13578713,8.39,7677992,4.74,161821389,도시/산업형,True,-0.03999999999999915,-0.0799999999999983,0.05000000000000071,0.08000000000000007
2019,청주 흥덕구,68099610,44.3,57786417,37.59,16247621,10.57,11601913,7.55,153735563,도시/산업형,True,-0.37000000000000455,-0.9499999999999957,0.7000000000000011,0.6299999999999999
2020,청주 상당구,269389775,76.55,68276358,19.4,13402712,3.81,861044,0.24,351929889,농업/산림형,True,-0.010000000000005116,0.0,0.010000000000000231,0.0
2020,청주 서원구,59877469,59.62,27011215,26.89,10800500,10.75,2748928,2.74,100438112,균형형,True,-0.020000000000003126,-0.07000000000000028,0.02999999999999936,0.06000000000000005
2020,청주 청원구,73899234,45.69,66490816,41.11,13616475,8.42,7740691,4.79,161747218,도시/산업형,True,-0.05000000000000426,-0.020000000000003126,0.02999999999999936,0.04999999999999982
2020,청주 흥덕구,68056641,44.27,57742949,37.56,16281089,10.59,11640014,7.57,153720695,도시/산업형,True,-0.02999999999999403,-0.030000000000001137,0.019999999999999574,0.020000000000000462
2023,청주 상당구,267757653,76.63,66183085,18.94,14559233,4.17,923582,0.26,349423554,농업/산림형,True,0.0799999999999983,-0.4599999999999973,0.3599999999999999,0.020000000000000018
2023,청주 서원구,59374101,59.25,26347683,26.29,11429186,11.41,3052163,3.05,100203135,균형형,True,-0.36999999999999744,-0.6000000000000014,0.6600000000000001,0.3099999999999996
2023,청주 청원구,72750903,45.26,65099111,40.5,14403701,8.96,8482334,5.28,160736050,도시/산업형,True,-0.4299999999999997,-0.6099999999999994,0.5400000000000009,0.4900000000000002
2023,청주 흥덕구,67129836,43.9,56170323,36.73,17332509,11.33,12280575,8.03,152913244,도시/산업형,True,-0.37000000000000455,-0.8300000000000054,0.7400000000000002,0.4599999999999991
2024,청주 상당구,267231501,76.7,65552993,18.81,14669157,4.21,956865,0.27,348410518,농업/산림형,True,0.07000000000000739,-0.13000000000000256,0.040000000000000036,0.010000000000000009
2024,청주 서원구,59280771,59.27,26073372,26.07,11590978,11.59,3075281,3.07,100020404,균형형,True,0.020000000000003126,-0.21999999999999886,0.17999999999999972,0.020000000000000018
2024,청주 청원구,72348979,45.12,64420715,40.17,14875710,9.28,8709809,5.43,160355214,도시/산업형,True,-0.14000000000000057,-0.3299999999999983,0.3199999999999985,0.14999999999999947
2024,청주 흥덕구,66979483,43.84,55923192,36.61,17517375,11.47,12348637,8.08,152768688,도시/산업형,True,-0.05999999999999517,-0.11999999999999744,0.14000000000000057,0.05000000000000071
2025,청주 상당구,267003437,76.68,65380185,18.78,14844498,4.26,959634,0.28,348187756,농업/산림형,True,-0.01999999999999602,-0.029999999999997584,0.04999999999999982,0.010000000000000009
2025,청주 서원구,59145779,59.17,25931469,25.94,11733302,11.74,3149033,3.15,99959585,균형형,True,-0.10000000000000142,-0.129999999999999,0.15000000000000036,0.08000000000000007
2025,청주 청원구,71666135,44.74,63991868,39.94,15133082,9.45,9409628,5.87,160200714,도시/산업형,True,-0.37999999999999545,-0.23000000000000398,0.16999999999999993,0.4400000000000004
2025,청주 흥덕구,66537054,43.63,54764025,35.91,18242335,11.96,12953147,8.49,152496562,도시/산업형,True,-0.21000000000000085,-0.7000000000000028,0.4900000000000002,0.41000000000000014
